PLAYER,PSP,PPPPG,WPP,PWAP,AWP,LBL
"Aaron Rodgers, GB QB",332.8,20.8,19.2,21.38,16.5,0
"Aaron Rodgers, GB QB",332.8,20.8,22.5,16.5,18.5,0
"Aaron Rodgers, GB QB",332.8,20.8,19.1,18.5,24.8,1
"Aaron Rodgers, GB QB",332.8,20.8,21.6,24.8,23.1,1
"Aaron Rodgers, GB QB",332.8,20.8,22.1,23.1,24,1
"Aaron Rodgers, GB QB",332.8,20.8,18.8,24,0.7,0
"Tom Brady, NE QB",323.6,20.225,19.8,21.07,10.7,0
"Tom Brady, NE QB",323.6,20.225,24.9,10.7,30.8,1
"Tom Brady, NE QB",323.6,20.225,17.2,30.8,35.7,1
"Tom Brady, NE QB",323.6,20.225,19.2,35.7,20.5,1
"Tom Brady, NE QB",323.6,20.225,20.2,20.5,12.6,0
"Tom Brady, NE QB",323.6,20.225,19.5,12.6,16.2,0
"Tom Brady, NE QB",323.6,20.225,20.4,16.2,18.5,0
"Tom Brady, NE QB",323.6,20.225,18.5,18.5,17.5,0
"Tom Brady, NE QB",323.6,20.225,18.1,17.5,22.6,1
"Tom Brady, NE QB",323.6,20.225,20.6,22.6,25.6,1
"Tom Brady, NE QB",323.6,20.225,20,25.6,20.7,1
"Drew Brees, NO QB",311.5,19.46875,16.9,17.43,15.6,0
"Drew Brees, NO QB",311.5,19.46875,22.1,15.6,22.2,1
"Drew Brees, NO QB",311.5,19.46875,17.3,22.2,20.8,1
"Drew Brees, NO QB",311.5,19.46875,19.3,20.8,19,0
"Drew Brees, NO QB",311.5,19.46875,18.7,19,11.5,0
"Drew Brees, NO QB",311.5,19.46875,16.9,11.5,19.1,1
"Drew Brees, NO QB",311.5,19.46875,17.7,19.1,11.8,0
"Drew Brees, NO QB",311.5,19.46875,19.7,11.8,18.7,0
"Drew Brees, NO QB",311.5,19.46875,15.7,18.7,14,0
"Drew Brees, NO QB",311.5,19.46875,19.9,14,21.6,1
"Drew Brees, NO QB",311.5,19.46875,17.4,21.6,14.3,0
"Matt Ryan, Atl QB",302.7,18.91875,17.9,14.98,17.9,0
"Matt Ryan, Atl QB",302.7,18.91875,21.9,17.9,14.9,0
"Matt Ryan, Atl QB",302.7,18.91875,18.3,14.9,13.7,0
"Matt Ryan, Atl QB",302.7,18.91875,19.4,13.7,8.5,0
"Matt Ryan, Atl QB",302.7,18.91875,18.6,8.5,11.9,0
"Matt Ryan, Atl QB",302.7,18.91875,19.1,11.9,17,0
